experiment,condition,K,DNI,R,baseline_org
size,24,0.010000,-0.080337,0.175802,21.346555
size,24,0.020000,0.109899,0.210294,21.241549
size,24,0.030000,0.034977,0.235969,21.296379
size,24,0.050000,0.038805,0.196120,21.218636
size,24,0.070000,-0.012720,0.236837,21.272085
size,24,0.100000,0.153778,0.257699,21.363561
size,24,0.150000,0.218878,0.393126,21.279448
size,24,0.200000,0.253306,0.434318,21.478150
size,24,0.300000,0.888023,0.869440,21.425267
size,24,0.500000,1.023738,0.868017,21.513373
size,24,0.800000,1.006409,0.955933,21.698439
size,24,1.000000,0.935289,0.981213,21.881065
size,32,0.000000,0.117497,0.150576,28.664054
size,32,0.001000,0.036682,0.084605,28.582686
size,32,0.005000,0.072561,0.153371,28.600868
size,32,0.010000,0.052650,0.237620,28.719393
size,32,0.020000,-0.049055,0.161172,28.679269
size,32,0.030000,0.129279,0.169520,28.702020
size,32,0.050000,0.027906,0.175745,28.618306
size,32,0.070000,0.040387,0.282537,28.598173
size,32,0.100000,0.115399,0.261278,28.920324
size,32,0.150000,0.025362,0.319869,28.699911
size,32,0.200000,0.088910,0.338977,28.824346
size,32,0.300000,0.880591,0.761950,28.787027
size,32,0.500000,0.952436,0.932290,28.970987
size,32,0.800000,1.001925,0.971075,29.270794
size,32,1.000000,1.036769,0.976001,29.710206
